episode,global_step,scene,length,return,success,collision,goal_distance,replay_size,curriculum_phase,initial_state_phase,initial_state_name,rl_gate_alpha_mean,distance_gate_alpha_mean,intrinsic_exploration_return,replay_labeled_transitions,cross_track_rmse,precision_constraint_cost_mean_square,precision_constraint_target_mean_square,precision_constraint_violation,precision_constraint_multiplier_before,precision_constraint_multiplier,precision_constraint_feasible,covariance_scale_0_mean,covariance_scale_0_std,covariance_scale_1_mean,covariance_scale_1_std
74,17874,high_dynamic_accel_turn_l56__high_mass_seen,205,103.18331646917528,True,False,0.24342034278958466,17874,uniform,disabled,configured_initial,1.0,1.0,0.0,205,0.15191090131264567,0.023076921937620377,0.0016,0.021476921937620377,0.0,0.0,False,1.0,0.0,1.0,0.0
75,18042,high_dynamic_accel_straight_l56__low_friction_seen,168,97.55311986642155,True,False,0.23737976287086573,18042,uniform,disabled,configured_initial,1.0,1.0,0.0,168,0.06826928235116006,0.004660694912742415,0.0016,0.0030606949127424147,0.0,0.0,False,1.0,0.0,1.0,0.0
76,18279,high_dynamic_accel_turn_l56__high_mass_seen,237,107.25665914926583,True,False,0.249820184006744,18279,uniform,disabled,configured_initial,1.0,1.0,0.0,237,0.10714394499768354,0.011479824949666635,0.0016,0.009879824949666634,0.0,0.0,False,1.0,0.0,1.0,0.0
77,18439,high_dynamic_accel_straight_l56__high_mass_seen,160,97.37924768423949,True,False,0.24931009675495108,18439,uniform,disabled,configured_initial,1.0,1.0,0.0,160,0.07195048788293554,0.005176872706592454,0.0016,0.003576872706592454,0.0,0.0,False,1.0,0.0,1.0,0.0
78,18640,high_dynamic_chicane_l56__long_delay_seen,201,104.02706771749698,True,False,0.2413785672411587,18640,uniform,disabled,configured_initial,1.0,1.0,0.0,201,0.11207155828534338,0.012560034176505117,0.0016,0.010960034176505117,0.0,0.0,False,1.0,0.0,1.0,0.0
79,18806,high_dynamic_sweep_l56__low_friction_seen,166,98.59571143552523,True,False,0.24832430835205954,18806,uniform,disabled,configured_initial,1.0,1.0,0.0,166,0.09291866412061801,0.008633878141960224,0.0016,0.007033878141960224,0.0,0.0,False,1.0,0.0,1.0,0.0
80,19004,high_dynamic_chicane_l56__high_mass_seen,198,103.55600793296418,True,False,0.21725450060994833,19004,uniform,disabled,configured_initial,1.0,1.0,0.0,198,0.1175992420870235,0.013829581739442362,0.0016,0.012229581739442361,0.0,0.0,False,1.0,0.0,1.0,0.0
81,19282,high_dynamic_accel_turn_l56__low_friction_seen,278,109.02926634731331,True,False,0.24901095372311072,19282,uniform,disabled,configured_initial,1.0,1.0,0.0,278,0.08609291814965768,0.007411990555523656,0.0016,0.005811990555523656,0.0,0.0,False,1.0,0.0,1.0,0.0
82,19480,high_dynamic_chicane_l56__high_mass_seen,198,105.01904557508169,True,False,0.226858091457613,19480,uniform,disabled,configured_initial,1.0,1.0,0.0,198,0.10352073481626971,0.010716542536900436,0.0016,0.009116542536900436,0.0,0.0,False,1.0,0.0,1.0,0.0
83,19776,high_dynamic_accel_turn_l56__high_mass_seen,296,110.58420492698599,True,False,0.24975832583936916,19776,uniform,disabled,configured_initial,1.0,1.0,0.0,296,0.07013419176541691,0.004918804854588272,0.0016,0.0033188048545882724,0.0,0.0,False,1.0,0.0,1.0,0.0
84,19925,high_dynamic_sweep_l56__long_delay_seen,149,101.38030114299694,True,False,0.24843529167423714,19925,uniform,disabled,configured_initial,1.0,1.0,0.0,149,0.06514559845587728,0.0042439489981744,0.0016,0.0026439489981744,0.0,0.0,False,1.0,0.0,1.0,0.0
85,20183,high_dynamic_accel_turn_l56__nominal_seen,258,110.96273854540112,True,False,0.24881661640286137,20183,uniform,disabled,configured_initial,1.0,1.0,0.0,258,0.07804036331000964,0.0060902983055583,0.0016,0.0044902983055583,0.0,0.0,False,1.0,0.0,1.0,0.0
86,20330,high_dynamic_sweep_l56__nominal_seen,147,102.87423455918271,True,False,0.2357203842121407,20330,uniform,disabled,configured_initial,1.0,1.0,0.0,147,0.04748362283443788,0.0022546944374831506,0.0016,0.0006546944374831506,0.0,0.0,False,1.0,0.0,1.0,0.0
87,20479,high_dynamic_accel_straight_l56__high_mass_seen,149,99.48846394185995,True,False,0.24518321373877422,20479,uniform,disabled,configured_initial,1.0,1.0,0.0,149,0.05463224025506937,0.0029846816752876217,0.0016,0.0013846816752876216,0.0,0.0,False,1.0,0.0,1.0,0.0
