episode,global_step,scene,length,return,success,collision,goal_distance,replay_size,curriculum_phase,initial_state_phase,initial_state_name,rl_gate_alpha_mean,distance_gate_alpha_mean,intrinsic_exploration_return,replay_labeled_transitions,cross_track_rmse,precision_constraint_cost_mean_square,precision_constraint_target_mean_square,precision_constraint_violation,precision_constraint_multiplier_before,precision_constraint_multiplier,precision_constraint_feasible,covariance_scale_0_mean,covariance_scale_0_std,covariance_scale_1_mean,covariance_scale_1_std
62,12658,high_dynamic_accel_turn_l56__high_mass_seen,173,92.36296299101693,True,False,0.24454021476901264,12658,uniform,disabled,configured_initial,1.0,1.0,0.0,173,0.23348441195004666,0.054514970623659086,0.0016,0.05291497062365909,0.0,0.0,False,1.0,0.0,1.0,0.0
63,13018,high_dynamic_accel_straight_l56__low_friction_seen,360,-620.89549597913,False,False,1.2096547319303654,13018,uniform,disabled,configured_initial,1.0,1.0,0.0,360,0.89447157288503,0.8000793946994195,0.0016,0.7984793946994194,0.0,0.0,False,1.0,0.0,1.0,0.0
64,13240,high_dynamic_accel_straight_l56__high_mass_seen,222,-73.49356616664365,True,False,0.24198355414994627,13240,uniform,disabled,configured_initial,1.0,1.0,0.0,222,0.4662103743586875,0.21735211315966754,0.0016,0.21575211315966755,0.0,0.0,False,1.0,0.0,1.0,0.0
65,13456,high_dynamic_chicane_l56__low_friction_seen,216,78.38052609619263,True,False,0.2345430701677229,13456,uniform,disabled,configured_initial,1.0,1.0,0.0,216,0.22593906208426595,0.05104845977551778,0.0016,0.04944845977551778,0.0,0.0,False,1.0,0.0,1.0,0.0
66,13644,high_dynamic_accel_turn_l56__nominal_seen,188,91.22533113590242,True,False,0.22343931041137086,13644,uniform,disabled,configured_initial,1.0,1.0,0.0,188,0.2307892267470651,0.053263667182508224,0.0016,0.05166366718250823,0.0,0.0,False,1.0,0.0,1.0,0.0
67,13821,high_dynamic_accel_turn_l56__nominal_seen,177,99.77157582741194,True,False,0.24911133744174047,13821,uniform,disabled,configured_initial,1.0,1.0,0.0,177,0.1896600487393065,0.035970934087796114,0.0016,0.034370934087796116,0.0,0.0,False,1.0,0.0,1.0,0.0
68,14036,high_dynamic_chicane_l56__nominal_seen,215,75.38120800582391,True,False,0.2331594516640548,14036,uniform,disabled,configured_initial,1.0,1.0,0.0,215,0.23560007045966527,0.05550739320059925,0.0016,0.05390739320059925,0.0,0.0,False,1.0,0.0,1.0,0.0
69,14190,high_dynamic_sweep_l56__low_friction_seen,154,91.57234416053424,True,False,0.24521972962732713,14190,uniform,disabled,configured_initial,1.0,1.0,0.0,154,0.16957143294568286,0.028754470871252217,0.0016,0.027154470871252216,0.0,0.0,False,1.0,0.0,1.0,0.0
70,14371,high_dynamic_accel_turn_l56__low_friction_seen,181,97.4289646735388,True,False,0.24675022519090037,14371,uniform,disabled,configured_initial,1.0,1.0,0.0,181,0.20182977724346446,0.040735258982146486,0.0016,0.03913525898214649,0.0,0.0,False,1.0,0.0,1.0,0.0
71,14731,high_dynamic_accel_straight_l56__low_friction_seen,360,-272.1594651060994,False,False,0.4886227890819135,14731,uniform,disabled,configured_initial,1.0,1.0,0.0,360,0.44721504188233013,0.20000129368581432,0.0016,0.19840129368581433,0.0,0.0,False,1.0,0.0,1.0,0.0
72,14922,high_dynamic_accel_turn_l56__long_delay_seen,191,106.41010947972424,True,False,0.21327996258660145,14922,uniform,disabled,configured_initial,1.0,1.0,0.0,191,0.15469672062286643,0.02393107537146919,0.0016,0.022331075371469188,0.0,0.0,False,1.0,0.0,1.0,0.0
73,15110,high_dynamic_accel_turn_l56__high_mass_seen,188,108.227666107347,True,False,0.24092233415635475,15110,uniform,disabled,configured_initial,1.0,1.0,0.0,188,0.1408067475536168,0.01982654015662797,0.0016,0.01822654015662797,0.0,0.0,False,1.0,0.0,1.0,0.0
74,15266,high_dynamic_sweep_l56__low_friction_seen,156,96.3439749169593,True,False,0.22038613183180794,15266,uniform,disabled,configured_initial,1.0,1.0,0.0,156,0.12620141955903247,0.01592679829871494,0.0016,0.01432679829871494,0.0,0.0,False,1.0,0.0,1.0,0.0
75,15411,high_dynamic_sweep_l56__nominal_seen,145,96.55748612040604,True,False,0.23359332567403418,15411,uniform,disabled,configured_initial,1.0,1.0,0.0,145,0.12867196265378622,0.016556473973177353,0.0016,0.014956473973177353,0.0,0.0,False,1.0,0.0,1.0,0.0
76,15600,high_dynamic_accel_turn_l56__high_mass_seen,189,101.83901071955626,True,False,0.21486293341153404,15600,uniform,disabled,configured_initial,1.0,1.0,0.0,189,0.176630924750828,0.031198483578332666,0.0016,0.029598483578332665,0.0,0.0,False,1.0,0.0,1.0,0.0
77,15826,high_dynamic_chicane_l56__long_delay_seen,226,85.45331168766833,True,False,0.24609937304932142,15826,uniform,disabled,configured_initial,1.0,1.0,0.0,226,0.19241511512103365,0.037023576527040636,0.0016,0.03542357652704064,0.0,0.0,False,1.0,0.0,1.0,0.0
78,16020,high_dynamic_accel_turn_l56__low_friction_seen,194,91.33780723276803,True,False,0.24089606801944782,16020,uniform,disabled,configured_initial,1.0,1.0,0.0,194,0.22713279545148835,0.05158930676960764,0.0016,0.049989306769607646,0.0,0.0,False,1.0,0.0,1.0,0.0
79,16160,high_dynamic_accel_straight_l56__low_friction_seen,140,97.87918516312136,True,False,0.24223212238900915,16160,uniform,disabled,configured_initial,1.0,1.0,0.0,140,0.08289717918286736,0.006871942316476418,0.0016,0.005271942316476418,0.0,0.0,False,1.0,0.0,1.0,0.0
80,16347,high_dynamic_accel_turn_l56__low_friction_seen,187,96.98695210728604,True,False,0.2472422446886368,16347,uniform,disabled,configured_initial,1.0,1.0,0.0,187,0.20706136580624646,0.042874409209548214,0.0016,0.04127440920954822,0.0,0.0,False,1.0,0.0,1.0,0.0
