arm,endpoint,mean_or_rate,median,n,q25,q75,sd,split
B11_full_proposed,release_delay_max_s,0.7774999999998539,0.39999999999997793,360,0.2000000000000668,0.8000000000000007,0.9948442999070953,pooled
B11_full_proposed,conflict_traversal_time_failure_penalized_s,21.52916666666605,10.5999999999976,360,6.1999999999995286,40.0,16.26234125322133,pooled
B11_full_proposed,zero_speed_risk_steps,16.28611111111111,12.0,360,10.0,19.0,11.656591683730422,pooled
B11_full_proposed,planner_compute_ms_p95_health_only,479.2708451390122,482.67993000008573,360,481.1942525010181,484.5304649976242,19.566371372101905,pooled
B11_full_proposed,planner_deadline_miss_rate_health_only,1.0,1.0,360,1.0,1.0,0.0,pooled
B00_strong_nominal_mppi,safe_success,0.7833333333333333,,180,,,,id
B00_strong_nominal_mppi,collision,0.21666666666666667,,180,,,,id
B00_strong_nominal_mppi,boundary_violation,0.0,,180,,,,id
B00_strong_nominal_mppi,failure_penalized_steps,323.8388888888889,300.0,180,296.0,336.0,41.6975226531095,id
B00_strong_nominal_mppi,final_goal_distance,0.8996318555837038,0.292877577361872,180,0.28578997919131255,0.29953844966365545,1.3449255150858037,id
B00_strong_nominal_mppi,path_progress_m_max,7.917225381917936,8.50942967604646,180,8.500653839750065,8.516676302641278,1.3432506422376675,id
B00_strong_nominal_mppi,minimum_clearance,0.23366808446542037,0.31547016544584494,180,0.0611452986335399,0.3190173220920183,0.15279930789108118,id
B00_strong_nominal_mppi,conflict_q05_clearance,0.3126313490661615,0.31971721494596483,180,0.3131667035132768,0.32437621670722233,0.12143389705623416,id
B00_strong_nominal_mppi,trajectory_length,8.035329605001218,8.530821628299364,180,8.510175010891482,8.670107601984123,1.3651022745297774,id
B00_strong_nominal_mppi,applied_control_jerk,0.037024707787367016,0.03001337987489335,180,0.022783600689127114,0.04844009932993772,0.017266392709851686,id
B00_strong_nominal_mppi,stuck_steps,16.58888888888889,17.0,180,14.0,19.0,6.168752478291161,id
B00_strong_nominal_mppi,spin_steps,3.061111111111111,2.0,180,0.75,5.0,3.371195582043531,id
